Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@kanyerepierrot,RT @adr_peace: @soniarolley #monpasseportestvalide!!!! Le gouv doit cesse d intimider le peuple https://t.co/BaOBdRWm2n,2017-09-20 21:26:44,fr,,0.0,9.0,,Kanyere Pierrot,,5817.0,6829.0,397.0,201.0,3.0,False,,
@ClemenceFeza,@soniarolley @unjhro Personne ne fera rien car nous sommes un peuple mouton,2017-09-20 21:19:38,fr,,0.0,0.0,@soniarolley,Clemence Feza,"specialiste en communications, l art et la culture me passionnent, le VIH/sida et l esthetique m interessent.",25.0,9.0,107.0,4.0,0.0,False,,
@lualecri,"RT @soniarolley: #RDC #Burundi #Kamanyola : la delegation de l Union Europeenne et les ambassades des pays de l UE condamnent les ""violence…",2017-09-20 21:19:18,fr,,0.0,46.0,,Luciana,"Let us always meet each other with smile, for the smile is the beginning of love.( Mother Teresa )",2453.0,3691.0,3099.0,1051.0,8.0,False,,
@mandianguitsha,RT @ReportageRFI: Conflit au #Kasai : 30 000 refugies en #Angola. Un @ReportageRFI de @soniarolley #RDC  https://t.co/SKT2LQ0fMY https://t.…,2017-09-20 21:17:31,fr,,0.0,23.0,,Itshamen Mandiangu,Actualites,401.0,151.0,365.0,11.0,2.0,False,,
@LeonMuzangisa,RT @akidakambo1: Et lui #JKabila a t-il un coeur? Tout est survenu parce qu il n a pas respecte l accord de Saint Sylvestre en roulant  @ra…,2017-09-20 21:14:42,fr,,0.0,8.0,,Muzangisa leon,,2740.0,815.0,243.0,491.0,5.0,False,,
@Ismaelkitenge1,"@soniarolley Faux kamwina nsapu,un montage d etat pour avoir des pretextes pour ne pas quitter le pouvoir democrati… https://t.co/TGM8HMw2Dk",2017-09-20 21:12:03,fr,,0.0,0.0,@soniarolley,Ismael kitenge,President national du mouvement de l union pour la restauration de peuple congolais MURPC en sigle.le futur president de la republique democratique du Congo.,12914.0,159.0,170.0,316.0,2.0,False,,
@DorcasKisala,RT @akidakambo1: Et lui #JKabila a t-il un coeur? Tout est survenu parce qu il n a pas respecte l accord de Saint Sylvestre en roulant  @ra…,2017-09-20 21:08:47,fr,,0.0,8.0,,Dorcas Kisala,Politique etats-Unis et International Journalistes & Experts Affaires & Finances Musique Technologie & Science Arts & Culture Actualites,574.0,382.0,238.0,437.0,0.0,False,,
@Ismaelkitenge1,"@soniarolley Arretons de la blague&amp;conneries,les massacres repetitifs sauvages au Kasai ailleurs en RDC demandent1j… https://t.co/WXQ8OgRzJP",2017-09-20 21:06:34,fr,,0.0,0.0,@soniarolley,Ismael kitenge,President national du mouvement de l union pour la restauration de peuple congolais MURPC en sigle.le futur president de la republique democratique du Congo.,12914.0,159.0,170.0,316.0,2.0,False,,
@mashanubian,RT @JLTshimbalanga: Il n existe nulle part au monde des #passeports semi-biometriques sauf ds 1pouvoir illegitime en #RDC. @mashanubian @id…,2017-09-20 21:01:34,fr,,0.0,2.0,,Aisha Dabo,I tweet about Africa https://t.co/SMq2uLShqN Media&Com Women Youths Rights Devt & Culture| My Ramblings | @Africtivistes @WATHI_ThinkTank https://t.co/SMq2uLShqN,115440.0,4851.0,3063.0,17213.0,647.0,False,,
@JLTshimbalanga,Il n existe nulle part au monde des #passeports semi-biometriques sauf ds 1pouvoir illegitime en #RDC. @mashanubian @ida_sawyer @soniarolley,2017-09-20 20:58:50,fr,,1.0,2.0,,TSHIMBALANGA J Louis,Chairman of a collectif named: Convergence pour l Emergence du Congo (CEC) Fight to bring peace and democracy in DRC;  peace at Great Lakes region,10840.0,482.0,1955.0,3645.0,43.0,False,,
@mpanga_yves,@soniarolley @RFIAfrique Est ce que lui meme pense a ca ? Ce lui le probleme il vaut mieux que lui meme prenne conscience,2017-09-20 20:49:57,fr,,0.0,0.0,@soniarolley,Yves mukendi mpanga,"journaliste independant , investigateur et crimelogue",172.0,270.0,103.0,10.0,0.0,False,,
@Bolungu1,Manipule par l argent de sang d tes frere et de ton pere que le pouvoir a humilie au grand jour.Quelle desolation p… https://t.co/Pp3y5ZM1pU,2017-09-20 20:49:06,fr,,0.0,0.0,,Elvis Bolungu,"Juriste de formation et defenseur de Droits de l homme, president dla ligue de jeunes du Mpcr et vice-pdt de la jeunesse du rassop.Combattant dla resistance .👊",677.0,787.0,410.0,523.0,0.0,False,,
@Bunagana1,RT @adr_peace: @soniarolley #monpasseportestvalide!!!! Le gouv doit cesse d intimider le peuple https://t.co/BaOBdRWm2n,2017-09-20 20:44:58,fr,,0.0,9.0,,eagleone,,6889.0,630.0,535.0,249.0,14.0,False,,
@du_congo,RT @Malkolinge7: @soniarolley @Katangapost243 Mavi ya kamboyake ! Parce que lui il a 1 conscience? @JpKienge @du_congo #LeGroupeDeMillions,2017-09-20 20:44:37,fr,,0.0,1.0,,Champion du Congo,,5871.0,4374.0,235.0,436.0,1.0,False,,
@ItaraBurundi,"RT @soniarolley: #RDC #Burundi #Kamanyola : la delegation de l Union Europeenne et les ambassades des pays de l UE condamnent les ""violence…",2017-09-20 20:44:22,fr,,0.0,46.0,,Itara Burundi,"Toute organisation œuvrant pour la paix, developpement,droits humains,... au #Burundi a droit d avoir un lien sur https://t.co/vkDkoVyJpW",1135.0,24.0,356.0,167.0,0.0,False,,
@Malkolinge7,@soniarolley @Katangapost243 Mavi ya kamboyake ! Parce que lui il a 1 conscience? @JpKienge @du_congo #LeGroupeDeMillions,2017-09-20 20:42:37,fr,,2.0,1.0,@soniarolley,Malko linge,Au service de la RDC et cauchemar du con sur mon profil,697.0,501.0,37.0,22.0,0.0,False,,
@direct_congo,"RT @feliciienkapon1: ""@soniarolley: #RDC #Kinshasa : selon un d leurs collegues, ils avaient une banderole ""mon passeport est valide, arret…",2017-09-20 20:42:26,fr,,0.0,1.0,,CongoDirect,L information de la Republique democratique du Congo en direct,18423.0,77.0,277.0,547.0,2.0,False,,
@tresinsolent,@AlibabaRDC @kibangula_rodin @soniarolley Les Lubas comprennent bcp de traitres.,2017-09-20 20:41:06,fr,,1.0,0.0,@AlibabaRDC,Joseph Lordure,"Activiste dans l ame et defenseur des droits et libertes, il vaut mieux etre grossier et honnete que poli et malhonnete. Kabila ne partira que par la force.",73027.0,25610.0,8297.0,21220.0,38.0,False,,
@testamentek,@giremaki @petermoj1 @fatshi13 @EmmanuelMacron @moise_katumbi @rassopp @politicocd @actualitecd @libreactus… https://t.co/On252q6zNt,2017-09-20 20:40:16,fr,,0.0,0.0,@giremaki,Testamentek Ilunga,"If your plan is for 1 year, plant rice.
If your plan is for 10 years, plant trees.       If your plan is for 100 years, educate children.",6.0,0.0,147.0,9.0,0.0,False,,
@Bunagana1,"RT @PascalDendry: @soniarolley Inimaginable ! ! ca c est pas le chef kamwina nsampu, c est plutot le chef Kabila nsampu. Kiekiekiekie",2017-09-20 20:40:07,fr,,0.0,3.0,,eagleone,,6889.0,630.0,535.0,249.0,14.0,False,,
@kabongo_richard,RT @endundo_olivier: Quand un pouvoir illegitime est conteste jusqu aux Nations unies! Eloko Nini E Silaka te? @OlivierKamitatu @moise_katu…,2017-09-20 20:38:45,fr,,0.0,3.0,,Kabongo Richard,Greffier Financier,37399.0,70440.0,760.0,1253.0,27.0,False,,
@AlibabaRDC,@kibangula_rodin @soniarolley La faute par qui commise ? Qui a assassine de sang froid le precedent ?,2017-09-20 20:36:24,fr,,1.0,0.0,@kibangula_rodin,ALI BABA,curieux de tout,19909.0,25967.0,909.0,2888.0,7.0,False,,
@AlibabaRDC,"RT @PascalDendry: @soniarolley Inimaginable ! ! ca c est pas le chef kamwina nsampu, c est plutot le chef Kabila nsampu. Kiekiekiekie",2017-09-20 20:35:29,fr,,0.0,3.0,,ALI BABA,curieux de tout,19909.0,25967.0,909.0,2888.0,7.0,False,,
@AlibabaRDC,"@soniarolley A cette allure,Il va bientot remercier Kabila pour l assassinat de son cousin ou neveu...",2017-09-20 20:35:19,fr,,2.0,0.0,@soniarolley,ALI BABA,curieux de tout,19909.0,25967.0,909.0,2888.0,7.0,False,,
@testamentek,@giremaki @petermoj1 @fatshi13 @EmmanuelMacron @moise_katumbi @rassopp @politicocd @actualitecd @libreactus… https://t.co/8qyZtJvpWG,2017-09-20 20:27:32,fr,,0.0,0.0,@giremaki,Testamentek Ilunga,"If your plan is for 1 year, plant rice.
If your plan is for 10 years, plant trees.       If your plan is for 100 years, educate children.",6.0,0.0,147.0,9.0,0.0,False,,
@scodenational,RT @adr_peace: @soniarolley #monpasseportestvalide!!!! Le gouv doit cesse d intimider le peuple https://t.co/BaOBdRWm2n,2017-09-20 20:19:57,fr,,0.0,9.0,,scodenational,,26240.0,2504.0,1687.0,2599.0,43.0,False,,
@ubT1mlyK0AzpbH3,RT @kabilaOuRien: @AddihacOng @petermoj1 @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookap…,2017-09-20 20:19:02,fr,,0.0,3.0,,CAVE CANEM,,25359.0,8728.0,4.0,276.0,7.0,False,,
@aluciadeedee,@soniarolley @Le_HCR Madam Rolley...ou sont les resultats des investigations sur les 6 millions de congolais tuEs p… https://t.co/OshaWAFxvA,2017-09-20 20:14:04,fr,,0.0,0.0,@soniarolley,aluciadeedee,,248.0,1263.0,91.0,8.0,0.0,False,,
@aluciadeedee,@RefugeesChief @soniarolley Et vous voulez faire du buits a cause de 39...? Du n importe quoi. Vos interEts son ecoeurants!,2017-09-20 20:11:40,fr,,0.0,0.0,@RefugeesChief,aluciadeedee,,248.0,1263.0,91.0,8.0,0.0,False,,
@IlungaJj,RT @adr_peace: @soniarolley #monpasseportestvalide!!!! Le gouv doit cesse d intimider le peuple https://t.co/BaOBdRWm2n,2017-09-20 20:11:19,fr,,0.0,9.0,,((((Time2Act)))),"Kongo lover. 
Fight for Democracy and Justice to raise up in my homeland.
I m responsible of my own tweets. 
Any insults I block you !",35872.0,23165.0,790.0,2360.0,31.0,False,,
@espoirmwenebatu,@DiplomatieRdc @soniarolley @MyHafidElalamy @Congo_Avenir @kikayabinkarubi @djinnitsaid @JeanineMabunda… https://t.co/i1jXEefQWI,2017-09-20 20:09:20,fr,,1.0,0.0,@DiplomatieRdc,espoir mwenebatu,Ir civil🏗👷🏼 & disigner👨🏼‍🎨 & Archi🕍🏛 sportif 🏋🏼️ fan de foot ⚽️ supporter de @Barca love🇨🇩&🇷🇺 🇨🇦🇩🇪🇫🇷🇨🇰🇿🇲🇮🇱 j aime cree⚡️⚡️⚡️💥,151.0,206.0,564.0,57.0,0.0,False,,
@vinny_tanda,@soniarolley @DiplomatieRdc Dites a ce ministre que son idee est absolument stupide @DiplomatieRdc,2017-09-20 20:09:12,fr,,0.0,0.0,@soniarolley,Vinny de Dieu,"J aime le seigneur Jesus. Je suis chretien, predicateur de la parole",35.0,20.0,337.0,12.0,0.0,False,,
@aluciadeedee,@RefugeesChief @soniarolley Du n importe quoi...et les 6 millions de congolais tuEs.ou sont les resultats dea inves… https://t.co/FlEA1NIXo9,2017-09-20 20:09:08,fr,,0.0,0.0,@RefugeesChief,aluciadeedee,,248.0,1263.0,91.0,8.0,0.0,False,,
@BRog67911950,"@soniarolley @didiane3 @unjhro Demander a JK cet acces et organisation des elections, c est demander a Rocket man d… https://t.co/kc805Q3qpB",2017-09-20 20:06:04,fr,,0.0,0.0,@soniarolley,BRog,"Physician executive manager, Executive director Healthcare Agency, North America. Passion for the rule of law and the development of the DRC and its people",272.0,245.0,20.0,3.0,0.0,False,,
@vinny_tanda,"@soniarolley @DiplomatieRdc Mon fr est porte disparu en ce moment, il faisait partie des manifestant @RFIAfrique",2017-09-20 20:03:55,fr,,0.0,0.0,@soniarolley,Vinny de Dieu,"J aime le seigneur Jesus. Je suis chretien, predicateur de la parole",35.0,20.0,337.0,12.0,0.0,False,,
@VivianeNabuholo,"RT @abelamundala: Notre compagnon d lutte @NathanMugisho1 tjrs introuvable, seul #Ali vice gouv Tang connait le lieu de sa detention! @unjh…",2017-09-20 20:02:02,fr,,0.0,14.0,,Viviane nabuholo,Hope for the best. Make joy your target. Plunge  into the ocean of life with heart within and God over head.,16654.0,12250.0,256.0,800.0,13.0,False,,
@didiane3,RT @lukusabukasa1: @soniarolley que personne n achete le passeport,2017-09-20 20:01:28,fr,,0.0,2.0,,Diane Yolo,"Co-founder and legal counsel of Bomoko na Biso. Advocate for women/girls, wife and mother. I am a global citizen # Part of the puzzle #Congo,#Belgie,#US",3009.0,7217.0,710.0,479.0,4.0,False,,
@madiata,RT @lukusabukasa1: @soniarolley que personne n achete le passeport,2017-09-20 19:59:56,fr,,0.0,2.0,,Richard DELVAUX,"Animateur Urbain et Theologien.
Directeur de l  IRSAS.
My blood for my country #DRC 
-(-_-)-(#_-)-(#_#)- #RDCONGO",43069.0,24940.0,123.0,1606.0,28.0,False,,
@madiata,"RT @epaphrodite_n: @soniarolley Bientot nos diplomes non biometrique seront invalide, priere de reprendre les etudes.",2017-09-20 19:59:51,fr,,0.0,1.0,,Richard DELVAUX,"Animateur Urbain et Theologien.
Directeur de l  IRSAS.
My blood for my country #DRC 
-(-_-)-(#_-)-(#_#)- #RDCONGO",43069.0,24940.0,123.0,1606.0,28.0,False,,
@madiata,RT @adr_peace: @soniarolley #monpasseportestvalide!!!! Le gouv doit cesse d intimider le peuple https://t.co/BaOBdRWm2n,2017-09-20 19:59:14,fr,,0.0,9.0,,Richard DELVAUX,"Animateur Urbain et Theologien.
Directeur de l  IRSAS.
My blood for my country #DRC 
-(-_-)-(#_-)-(#_#)- #RDCONGO",43069.0,24940.0,123.0,1606.0,28.0,False,,
@feliciienkapon1,"""@soniarolley: #RDC #Kinshasa : selon un d leurs collegues, ils avaient une banderole ""mon passeport est valide, arretez d arnaquer l peuple",2017-09-20 19:52:00,fr,,0.0,1.0,,Felicien Kapongo,coordonnateur principal asco/ongd,198.0,169.0,284.0,31.0,0.0,False,,
@ntondo15,"RT @abelamundala: Notre compagnon d lutte @NathanMugisho1 tjrs introuvable, seul #Ali vice gouv Tang connait le lieu de sa detention! @unjh…",2017-09-20 19:37:38,fr,,0.0,14.0,,ntondo,,102605.0,16860.0,746.0,1451.0,79.0,False,,
@O_Bata,@soniarolley Une boulette de trop,2017-09-20 19:33:38,fr,,0.0,0.0,@soniarolley,Ovivo,Justice and Freedom,3664.0,1045.0,361.0,404.0,8.0,False,,
@EmmanuelElomba1,"RT @PascalDendry: @soniarolley Inimaginable ! ! ca c est pas le chef kamwina nsampu, c est plutot le chef Kabila nsampu. Kiekiekiekie",2017-09-20 19:24:05,fr,,0.0,3.0,,elo162🕚plus de temp,👉👎,540.0,878.0,511.0,37.0,0.0,False,,
@tresinsolent,@Ramazan51902981 @DiplomatieRdc @soniarolley @MyHafidElalamy @Congo_Avenir @kikayabinkarubi @djinnitsaid… https://t.co/Tk117C0AnC,2017-09-20 19:23:25,fr,,1.0,0.0,@Ramazan51902981,Joseph Lordure,"Activiste dans l ame et defenseur des droits et libertes, il vaut mieux etre grossier et honnete que poli et malhonnete. Kabila ne partira que par la force.",73027.0,25610.0,8297.0,21220.0,38.0,False,,
@JosephBagasele,@soniarolley Pourquoi Arreter ca? Ba Zo Banga Peuples Ayeba Verite? To Yebi!,2017-09-20 19:20:03,fr,,1.0,0.0,@soniarolley,Joseph Bagasele,Etudiant En Sciences Agronomique De L ifa/yangambi,71.0,80.0,77.0,0.0,0.0,False,,
@lilimakaku,"@epaphrodite_n @soniarolley @RFIAfrique Kie kie kie,  mawa trop",2017-09-20 19:20:02,pl,,0.0,0.0,@epaphrodite_n,lili makaku,,788.0,576.0,7.0,35.0,0.0,False,,
@lilimakaku,@soniarolley @Le_HCR L ONU doit appliquer ttes ces resolutions pour etablir une paix effective et durable en RDC et… https://t.co/Bm2vFwtfgm,2017-09-20 19:18:21,fr,,1.0,0.0,@soniarolley,lili makaku,,788.0,576.0,7.0,35.0,0.0,False,,
@cedricklufwe,RT @endundo_olivier: Quand un pouvoir illegitime est conteste jusqu aux Nations unies! Eloko Nini E Silaka te? @OlivierKamitatu @moise_katu…,2017-09-20 19:13:08,fr,,0.0,3.0,,cedrick lufwe,Peace and love,11867.0,3918.0,680.0,398.0,33.0,False,,
@2Bokombe,@soniarolley A bon ? Bizarre bizarre,2017-09-20 19:09:37,fr,,0.0,0.0,@soniarolley,@bokombe 2,,10.0,18.0,91.0,3.0,0.0,False,,
@coeurafro,"@endundo_olivier @OlivierKamitatu @moise_katumbi @soniarolley Toutefois, j imagine le tolle du cote de chez nous si c etait ecrit Kagame ...",2017-09-20 19:08:30,fr,,0.0,0.0,@endundo_olivier,Esoya,"Militante pour respect des droits de l homme. Paix, justice & reparation pour les victimes de violences sexuelles comme arme de guerre. Lucha dans l ame 😉",16257.0,8908.0,1295.0,3474.0,56.0,False,,
@jedidia_mabela,Le voleur qui crie au voleur...vaste Blague ! https://t.co/FkaW7jiyFv,2017-09-20 19:08:05,fr,,0.0,0.0,,Jedidia Mabela,"ne le 18\10\1994,etudiant et chercheur en science politique,habitant a Kisangani.",210.0,169.0,416.0,93.0,0.0,False,,
@rodyditend,@soniarolley @RFIAfrique On allume le feu puis on se presente en pompier pr y remedier...,2017-09-20 19:07:56,fr,,0.0,0.0,@soniarolley,rodyditend,"husband,business owner and political viewer",748.0,481.0,369.0,142.0,1.0,False,,
@MutomboNsapuJea,@soniarolley In imbecile de premier rang https://t.co/WKo9O58Cd6,2017-09-20 19:03:16,fr,,0.0,0.0,@soniarolley,Mutumishi,"Le congolais est: facile a corrompre, peureux et versatile... Desole, je le dis quand meme.",4871.0,75.0,114.0,270.0,0.0,False,,
@lilimakaku,"@soniarolley @Le_HCR Manif pacifique pour les refugies porteurs d armes. Si ce refugies sont en  insecurite, vs pou… https://t.co/LUhy3sW6Zm",2017-09-20 19:00:51,fr,,1.0,0.0,@soniarolley,lili makaku,,788.0,576.0,7.0,35.0,0.0,False,,
@Katangapost243,"RT @Matende12: On se moque de qui? #JKabila n a pas le sens de moralite, il pille, tue et viole tout en #RDC et appel les autres a la consc…",2017-09-20 18:57:06,fr,,0.0,4.0,,Katanga Post,,15801.0,11821.0,1121.0,766.0,17.0,False,,
@tresinsolent,@soniarolley Puis je conclure que ma presence serait hasardeuse ?,2017-09-20 18:56:55,fr,,0.0,0.0,@soniarolley,Joseph Lordure,"Activiste dans l ame et defenseur des droits et libertes, il vaut mieux etre grossier et honnete que poli et malhonnete. Kabila ne partira que par la force.",73027.0,25610.0,8297.0,21220.0,38.0,False,,
@alexsitou,@soniarolley la peur doit changer de camp. Ils ont maintenant peur des images et des temoins #RDC,2017-09-20 18:55:50,fr,,1.0,1.0,@soniarolley,Alex SITOU,"Engineer  #democraty #humanrights #panafricanism Info&manipulations. Anonyme sur tweeter, passe ton chemin. L Afrique francophone plus gros fiasco de l histoire",15188.0,10185.0,259.0,1117.0,28.0,False,,
@tshitok,RT @larissadi: .@soniarolley @aaronross6 https://t.co/RogZRkGucX,2017-09-20 18:52:51,und,,0.0,1.0,,Nec Plus Ultra,"Jesus 🕆 - DRC - ⚖ Env. Law & Sustainability ♻ - Soccer ⚽ 
Living 2 leave a legacy & Carpe Diem
~ Views solely my own, RT ❌ endorsements, ❤ = bookmark",18320.0,12980.0,1316.0,772.0,121.0,False,,
@VMukulungu,"@soniarolley @RFIAfrique S il veut ramener le debat au niveau des etats d ame, qu il commence par faire sa propre introspection.",2017-09-20 18:47:44,fr,,1.0,0.0,@soniarolley,A.V.Mukulungu,Diplome en sciences de l information et de la communication. Fondateur de l entreprise   positive energy concept  .Exploitant agro-pastoral.,358.0,110.0,93.0,17.0,0.0,False,,
@ntondo15,RT @EmileOkitengo: @soniarolley Ce sont des voyoux et bandits au sommet des affaires d etat,2017-09-20 18:47:13,fr,,0.0,1.0,,ntondo,,102605.0,16860.0,746.0,1451.0,79.0,False,,
@ntondo15,RT @adr_peace: @soniarolley #monpasseportestvalide!!!! Le gouv doit cesse d intimider le peuple https://t.co/BaOBdRWm2n,2017-09-20 18:47:07,fr,,0.0,9.0,,ntondo,,102605.0,16860.0,746.0,1451.0,79.0,False,,
@JCMaswana,RT @endundo_olivier: Quand un pouvoir illegitime est conteste jusqu aux Nations unies! Eloko Nini E Silaka te? @OlivierKamitatu @moise_katu…,2017-09-20 18:45:16,fr,,0.0,3.0,,Jean-Claude Maswana,"Professor of Economics, Graduate School of Business Sciences, 筑波大学, Tsukuba University, 東京, Tokyo, Japan. SON OF LIGHT. MAKING HUMANITY, AFRICA GREAT AGAIN🌍",17890.0,13381.0,961.0,3058.0,33.0,False,,
@JacquesILUNGA1,@DiplomatieRdc @soniarolley @MyHafidElalamy @Congo_Avenir @kikayabinkarubi @djinnitsaid @JeanineMabunda… https://t.co/6Y93WQ84y0,2017-09-20 18:44:48,tl,,0.0,0.0,@DiplomatieRdc,TJI,S.I Projet Manager,2183.0,6151.0,218.0,249.0,2.0,False,,
@ninpetit22,"RT @guykarema: #RDC #Kamanyola : la delegation de l UE et les ambassades des pays de l UE condamnent les ""violences"" de Kamanyola https://t…",2017-09-20 18:40:52,und,,0.0,1.0,,Desire Nininahazwe,,422.0,149.0,107.0,26.0,3.0,False,,
@issaben00,"@soniarolley @RFIAfrique Que cet appelle conserne tshibala,Mende,boshab, et lui mm jkk",2017-09-20 18:40:32,fr,,1.0,0.0,@soniarolley,Issa Mustafa,,5.0,1.0,54.0,16.0,0.0,False,,
@MichelNawej,RT @kabilaOuRien: @AddihacOng @petermoj1 @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookap…,2017-09-20 18:40:27,fr,,0.0,3.0,,Michel Nawej,"jeune Congolais, luttant pour la paix et la democratie",4695.0,3675.0,2787.0,2198.0,3.0,False,,
@kunsaurea1989,"@soniarolley @RFIAfrique Qu il commence d abord par examiner sa conscience,  ensuite qu  il nous fasse rapport",2017-09-20 18:40:10,fr,,1.0,0.0,@soniarolley,Ak,Analyste,1685.0,144.0,217.0,70.0,0.0,False,,
@soniarolley,"#RDC #Kinshasa: selon un manifestant, le journaliste et le photographe filmaient la liberation avec des tel portables et ont ete arretes.",2017-09-20 18:38:49,fr,,26.0,20.0,,Sonia Rolley,"Journaliste @RFI, Envoyee speciale permanente a Kinshasa #RDC #Burundi #Rwanda",38205.0,1044.0,1343.0,213571.0,832.0,True,,
@issaben00,@soniarolley Il demande a qui est pourquoi ?? Nos ancetres s en chargera de lui,2017-09-20 18:38:30,fr,,0.0,0.0,@soniarolley,Issa Mustafa,,5.0,1.0,54.0,16.0,0.0,False,,
@endundo_olivier,Quand un pouvoir illegitime est conteste jusqu aux Nations unies! Eloko Nini E Silaka te? @OlivierKamitatu… https://t.co/4RpirxBLnG,2017-09-20 18:36:53,fr,US,6.0,3.0,,Olivier Endundo,"Papa, Optimiste, Depute National-Membre du Parti Democrate Chretien/G7/Rassemblement. Mes Tweets n engagent que moi...",2957.0,2848.0,765.0,2342.0,7.0,False,,
@PKalindula,@soniarolley C est la honte. Cela rappelle Le Marechal Petin faisant allegeance aux Nazis.,2017-09-20 18:36:34,fr,,0.0,0.0,@soniarolley,Pierre Kalindula,"Juriste-chercheur
(Droit Economique et Social)

Doctorant

Ancien Haut Fonctionnaire de Banque

Entrepreneur",93.0,2.0,52.0,0.0,1.0,False,,
@lilimakaku,@RefugeesChief @soniarolley Comment ces refugies sont ils armes et ils ont tue 4 casques bleus ?,2017-09-20 18:36:22,fr,,1.0,0.0,@RefugeesChief,lili makaku,,788.0,576.0,7.0,35.0,0.0,False,,
@guykarema,"#RDC #Kamanyola : la delegation de l UE et les ambassades des pays de l UE condamnent les ""violences"" de Kamanyola https://t.co/gdKFBX61c1",2017-09-20 18:35:45,und,,0.0,1.0,,Guy Karema,"PI Officer, 
Strategic 
Communications - UN


Retweets  not endorsements - Tweeting on DRC, EAC and key world issues.",877.0,631.0,260.0,1592.0,15.0,False,,
